Date and time:,2022-05-10 10:22:14
Notes:
,,,,,,,,,,,,,,,,,,
Cyclic Voltammetry: CV i vs E Scan 1,,Cyclic Voltammetry: CV i vs E Scan 2,,Cyclic Voltammetry: CV i vs E Scan 3,,Cyclic Voltammetry: CV i vs E Scan 4,,Cyclic Voltammetry: CV i vs E Scan 5,,Cyclic Voltammetry: CV i vs E Scan 6,,Cyclic Voltammetry: CV i vs E Scan 7,,Cyclic Voltammetry: CV i vs E Scan 8,,Cyclic Voltammetry: CV i vs E Scan 9,,Cyclic Voltammetry: CV i vs E Scan 10
Date and time measurement:,2022-04-11 13:27:39,Date and time measurement:,2022-04-11 13:27:39,Date and time measurement:,2022-04-11 13:27:39,Date and time measurement:,2022-04-11 13:27:39,Date and time measurement:,2022-04-11 13:27:39,Date and time measurement:,2022-04-11 13:27:39,Date and time measurement:,2022-04-11 13:27:39,Date and time measurement:,2022-04-11 13:27:39,Date and time measurement:,2022-04-11 13:27:39,Date and time measurement:,2022-04-11 13:27:39,
V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA
0.0109768,27.7365,0.0109768,-9.92326,0.0109768,-7.08082,0.0109768,-5.38566,0.0109768,-4.3967,0.0109768,-4.79009,0.0109768,-6.08184,0.0109768,-8.18709,0.0109768,-10.485,0.0109768,-12.3451
0.0119143,28.0198,0.0119143,-8.58668,0.0119143,-6.09233,0.0119143,-4.51829,0.0119143,-3.10303,0.0119143,-3.59799,0.0119143,-5.46672,0.0119143,-7.29921,0.0119143,-9.28572,0.0119143,-11.6852
0.0129299,28.7026,0.0129299,-7.95343,0.0129299,-5.09717,0.0129299,-3.36958,0.0129299,-2.43116,0.0129299,-2.73491,0.0129299,-4.11488,0.0129299,-6.29022,0.0129299,-8.60718,0.0129299,-10.4425
0.0139456,28.9472,0.0139456,-6.90773,0.0139456,-4.38525,0.0139456,-2.8031,0.0139456,-1.37449,0.0139456,-1.86086,0.0139456,-3.72817,0.0139456,-5.66223,0.0139456,-7.59724,0.0139456,-10.1111
0.014883,29.5957,0.014883,-6.37701,0.014883,-3.34383,0.014883,-1.61052,0.014883,-0.758891,0.014883,-1.0469,0.014883,-2.43164,0.014883,-4.62939,0.014883,-6.94016,0.014883,-8.89758
0.0158987,29.9457,0.0158987,-5.17346,0.0158987,-2.51318,0.0158987,-0.960116,0.0158987,0.524282,0.0158987,-0.0407696,0.0158987,-1.92953,0.0158987,-3.77919,0.0158987,-5.81052,0.0158987,-8.30725
0.0169144,30.6138,0.0169144,-4.7877,0.0169144,-1.70541,0.0169144,-0.0216961,0.0169144,0.858073,0.0169144,0.651126,0.0169144,-0.785594,0.0169144,-3.03532,0.0169144,-5.35466,0.0169144,-7.26011
0.01793,30.9147,0.01793,-3.6657,0.01793,-0.983481,0.01793,0.618219,0.01793,2.03253,0.01793,1.41407,0.01793,-0.399351,0.01793,-2.26379,0.01793,-4.30657,0.01793,-6.76658
0.0188675,31.6256,0.0188675,-3.3734,0.0188675,-0.264406,0.0188675,1.46938,0.0188675,2.37299,0.0188675,2.10453,0.0188675,0.671153,0.0188675,-1.58,0.0188675,-3.97851,0.0188675,-5.84629
0.0198832,31.9957,0.0198832,-2.34581,0.0198832,0.419378,0.0198832,2.03539,0.0198832,3.47258,0.0198832,2.8956,0.0198832,1.01543,0.0198832,-0.931506,0.0198832,-2.91849,0.0198832,-5.40282
0.0208988,32.6775,0.0208988,-2.04779,0.0208988,1.13178,0.0208988,2.8298,0.0208988,3.78348,0.0208988,3.4764,0.0208988,1.98866,0.0208988,-0.223875,0.0208988,-2.60283,0.0208988,-4.54404
0.0218363,33.0457,0.0218363,-1.06311,0.0218363,1.74118,0.0218363,3.38055,0.0218363,4.7796,0.0218363,4.19022,0.0218363,2.36536,0.0218363,0.407934,0.0218363,-1.7016,0.0218363,-4.22217
0.0228519,33.6932,0.0228519,-0.887637,0.0228519,2.4078,0.0228519,4.06338,0.0228519,5.02374,0.0228519,4.76863,0.0228519,3.25085,0.0228519,0.95964,0.0228519,-1.40596,0.0228519,-3.31713
0.0238676,34.1286,0.0238676,0.0360012,0.0238676,2.86509,0.0238676,4.59268,0.0238676,5.92353,0.0238676,5.32033,0.0238676,3.57319,0.0238676,1.5533,0.0238676,-0.558138,0.0238676,-3.07203
0.0248051,34.7866,0.0248051,0.134706,0.0248051,3.51645,0.0248051,5.15964,0.0248051,6.21107,0.0248051,5.88253,0.0248051,4.36713,0.0248051,2.05589,0.0248051,-0.280619,0.0248051,-2.19465
0.0258207,35.2458,0.0258207,1.04881,0.0258207,4.01284,0.0258207,5.69227,0.0258207,7.06079,0.0258207,6.46474,0.0258207,4.62367,0.0258207,2.70296,0.0258207,0.532389,0.0258207,-1.99247
0.0268364,35.8638,0.0268364,1.15085,0.0268364,4.57026,0.0268364,6.21917,0.0268364,7.27346,0.0268364,6.99928,0.0268364,5.45241,0.0268364,3.15167,0.0268364,0.762706,0.0268364,-1.08886
0.0277739,36.3316,0.0277739,2.00058,0.0277739,5.00228,0.0277739,6.70793,0.0277739,8.12414,0.0277739,7.45514,0.0277739,5.65984,0.0277739,3.66856,0.0277739,1.54949,0.0277739,-0.983005
0.0287895,36.9953,0.0287895,2.11264,0.0287895,5.59356,0.0287895,7.27489,0.0287895,8.23525,0.0287895,7.91767,0.0287895,6.42231,0.0287895,4.11917,0.0287895,1.69349,0.0287895,-0.224829
0.0298052,37.5027,0.0298052,2.93804,0.0298052,5.92258,0.0298052,7.68021,0.0298052,9.09165,0.0298052,8.43409,0.0298052,6.57728,0.0298052,4.5984,0.0298052,2.50412,0.0298052,0.0140667
0.0308208,38.1693,0.0308208,3.00098,0.0308208,6.50814,0.0308208,8.07503,0.0308208,9.2409,0.0308208,8.90091,0.0308208,7.37741,0.0308208,5.00419,0.0308208,2.63191,0.0308208,0.648742
0.0317583,38.6571,0.0317583,3.73484,0.0317583,6.83572,0.0317583,8.58239,0.0317583,9.86032,0.0317583,9.28477,0.0317583,7.45562,0.0317583,5.48627,0.0317583,3.29806,0.0317583,0.80276
0.032774,39.3299,0.032774,3.76536,0.032774,7.39267,0.032774,8.96672,0.032774,10.0038,0.032774,9.75684,0.032774,8.11747,0.032774,5.82817,0.032774,3.49642,0.032774,1.47176
0.0337896,39.8387,0.0337896,4.51114,0.0337896,7.6268,0.0337896,9.39874,0.0337896,10.7968,0.0337896,10.1149,0.0337896,8.26624,0.0337896,6.26829,0.0337896,4.09724,0.0337896,1.60957
0.0347271,40.5349,0.0347271,4.60603,0.0347271,8.14799,0.0347271,9.73205,0.0347271,10.8526,0.0347271,10.5532,0.0347271,8.95146,0.0347271,6.6016,0.0347271,4.21978,0.0347271,2.23757
0.0357428,41.0442,0.0357428,5.22592,0.0357428,8.37544,0.0357428,10.1302,0.0357428,11.5016,0.0357428,10.8788,0.0357428,9.03157,0.0357428,7.07891,0.0357428,4.905,0.0357428,2.37728
0.0367584,41.7308,0.0367584,5.23211,0.0367584,8.89281,0.0367584,10.4416,0.0367584,11.5893,0.0367584,11.2784,0.0367584,9.66958,0.0367584,7.33116,0.0367584,4.92312,0.0367584,3.02864
0.0376959,42.2796,0.0376959,5.87537,0.0376959,9.09022,0.0376959,10.9117,0.0376959,12.2955,0.0376959,11.5769,0.0376959,9.76161,0.0376959,7.81134,0.0376959,5.5845,0.0376959,3.0563
0.0387115,42.9162,0.0387115,5.91733,0.0387115,9.6095,0.0387115,11.216,0.0387115,12.2817,0.0387115,12.0047,0.0387115,10.4349,0.0387115,8.00636,0.0387115,5.71468,0.0387115,3.70337
0.0397272,43.5118,0.0397272,6.5501,0.0397272,9.7845,0.0397272,11.6256,0.0397272,12.9636,0.0397272,12.2946,0.0397272,10.4249,0.0397272,8.44553,0.0397272,6.22823,0.0397272,3.75773
0.0407419,44.1975,0.0407419,6.55153,0.0407419,10.2609,0.0407419,11.8092,0.0407419,12.9436,0.0407419,12.6899,0.0407419,11.0701,0.0407419,8.67251,0.0407419,6.30405,0.0407419,4.39479
0.0416803,44.7082,0.0416803,7.01216,0.0416803,10.288,0.0416803,12.0428,0.0416803,13.4495,0.0416803,12.7452,0.0416803,10.9809,0.0416803,8.97768,0.0416803,6.70602,0.0416803,4.24315
0.042695,45.4129,0.042695,7.07844,0.042695,10.8588,0.042695,12.4162,0.042695,13.5282,0.042695,13.2125,0.042695,11.6017,0.042695,9.2285,0.042695,6.93253,0.042695,4.90167
0.0437107,46.02,0.0437107,7.6535,0.0437107,10.9218,0.0437107,12.7562,0.0437107,14.1295,0.0437107,13.409,0.0437107,11.6384,0.0437107,9.64812,0.0437107,7.41127,0.0437107,4.97462
0.0446482,46.6947,0.0446482,7.64635,0.0446482,11.4348,0.0446482,12.9841,0.0446482,14.1652,0.0446482,13.8667,0.0446482,12.2164,0.0446482,9.80262,0.0446482,7.55289,0.0446482,5.53348
0.0456638,47.3017,0.0456638,8.20616,0.0456638,11.5049,0.0456638,13.3765,0.0456638,14.7384,0.0456638,14.0026,0.0456638,12.2297,0.0456638,10.2799,0.0456638,8.02877,0.0456638,5.55255
0.0466795,47.9807,0.0466795,8.20616,0.0466795,12.0724,0.0466795,13.5348,0.0466795,14.7493,0.0466795,14.4055,0.0466795,12.8406,0.0466795,10.402,0.0466795,8.16182,0.0466795,6.09043
0.047617,48.6273,0.047617,8.7016,0.047617,12.1077,0.047617,13.9335,0.047617,15.2906,0.047617,14.5457,0.047617,12.7752,0.047617,10.8068,0.047617,8.50037,0.047617,6.13096
0.0486326,49.314,0.0486326,8.67299,0.0486326,12.5297,0.0486326,14.1118,0.0486326,15.2734,0.0486326,15.0102,0.0486326,13.3479,0.0486326,10.9337,0.0486326,8.67966,0.0486326,6.61733
0.0496483,49.9782,0.0496483,9.23995,0.0496483,12.5621,0.0496483,14.417,0.0496483,15.7679,0.0496483,15.0679,0.0496483,13.3665,0.0496483,11.38,0.0496483,9.03443,0.0496483,6.67217
0.0505857,50.6792,0.0505857,9.14362,0.0505857,13.1314,0.0505857,14.613,0.0505857,15.7855,0.0505857,15.5323,0.0505857,13.8796,0.0505857,11.4158,0.0505857,9.18845,0.0505857,7.14281
0.0516014,51.3246,0.0516014,9.67816,0.0516014,13.0618,0.0516014,14.9973,0.0516014,16.2934,0.0516014,15.6105,0.0516014,13.8372,0.0516014,11.8702,0.0516014,9.558,0.0516014,7.22912
0.0526171,52.0017,0.0526171,9.63477,0.0526171,13.6159,0.0526171,15.0507,0.0526171,16.2504,0.0526171,15.9419,0.0526171,14.3383,0.0526171,11.8945,0.0526171,9.71488,0.0526171,7.62632
0.0536327,52.6597,0.0536327,10.1164,0.0536327,13.4442,0.0536327,15.4818,0.0536327,16.7463,0.0536327,16.0096,0.0536327,14.3307,0.0536327,12.3632,0.0536327,9.94758,0.0536327,7.6454
0.0545702,53.3559,0.0545702,10.1107,0.0545702,14.0498,0.0545702,15.4908,0.0545702,16.6824,0.0545702,16.4564,0.0545702,14.8223,0.0545702,12.3871,0.0545702,10.2075,0.0545702,8.0817
0.0555859,54.0807,0.0555859,10.5594,0.0555859,13.9602,0.0555859,15.8666,0.0555859,17.2289,0.0555859,16.4512,0.0555859,14.8576,0.0555859,12.8363,0.0555859,10.5088,0.0555859,8.16897
0.0566015,54.7339,0.0566015,10.4607,0.0566015,14.5405,0.0566015,15.9834,0.0566015,17.2284,0.0566015,16.8889,0.0566015,15.22,0.0566015,12.8181,0.0566015,10.6914,0.0566015,8.47367
0.057539,55.4349,0.057539,10.9375,0.057539,14.3498,0.057539,16.2814,0.057539,17.669,0.057539,16.9781,0.057539,15.3006,0.057539,13.3021,0.057539,10.8684,0.057539,8.58334
0.0585546,56.1358,0.0585546,10.8545,0.0585546,14.9911,0.0585546,16.3615,0.0585546,17.6309,0.0585546,17.3433,0.0585546,15.6587,0.0585546,13.2249,0.0585546,11.1201,0.0585546,8.95766
0.0595703,56.8368,0.0595703,11.3595,0.0595703,14.7732,0.0595703,16.7902,0.0595703,18.1063,0.0595703,17.3453,0.0595703,15.755,0.0595703,13.7542,0.0595703,11.3419,0.0595703,9.02203
0.0605078,57.5092,0.0605078,11.2708,0.0605078,15.3163,0.0605078,16.8303,0.0605078,18.0648,0.0605078,17.7978,0.0605078,16.1589,0.0605078,13.656,0.0605078,11.4816,0.0605078,9.37537
0.0615234,58.2483,0.0615234,11.7052,0.0615234,15.1933,0.0615234,17.1698,0.0615234,18.4825,0.0615234,17.803,0.0615234,16.1164,0.0615234,14.1843,0.0615234,11.7639,0.0615234,9.43069
0.0625391,58.9016,0.0625391,11.6117,0.0625391,15.7583,0.0625391,17.226,0.0625391,18.4468,0.0625391,18.2393,0.0625391,16.5141,0.0625391,14.0708,0.0625391,11.9756,0.0625391,9.77592
0.0635548,59.6788,0.0635548,12.0376,0.0635548,15.5233,0.0635548,17.5541,0.0635548,18.8554,0.0635548,18.1163,0.0635548,16.517,0.0635548,14.5996,0.0635548,12.0905,0.0635548,9.91324
0.0644922,60.3273,0.0644922,11.9932,0.0644922,16.1312,0.0644922,17.5741,0.0644922,18.8635,0.0644922,18.6494,0.0644922,16.8694,0.0644922,14.5105,0.0644922,12.3795,0.0644922,10.1884
0.0655079,61.0712,0.0655079,12.4043,0.0655079,15.9515,0.0655079,17.9847,0.0655079,19.1997,0.0655079,18.523,0.0655079,16.9285,0.0655079,14.982,0.0655079,12.5192,0.0655079,10.2713
0.0665236,61.7435,0.0665236,12.306,0.0665236,16.4903,0.0665236,17.8779,0.0665236,19.2421,0.0665236,19.0247,0.0665236,17.2766,0.0665236,14.8318,0.0665236,12.7614,0.0665236,10.607
0.067461,62.4445,0.067461,12.7581,0.067461,16.321,0.067461,18.3514,0.067461,19.6136,0.067461,18.8826,0.067461,17.361,0.067461,15.3444,0.067461,12.9021,0.067461,10.6843
0.0684767,63.112,0.0684767,12.5525,0.0684767,16.6457,0.0684767,18.0605,0.0684767,19.4748,0.0684767,19.2302,0.0684767,17.4521,0.0684767,15.0879,0.0684767,12.9474,0.0684767,10.7811
0.0694923,63.8368,0.0694923,12.9645,0.0694923,16.6081,0.0694923,18.6508,0.0694923,19.9416,0.0694923,19.2068,0.0694923,17.6466,0.0694923,15.6778,0.0694923,13.1867,0.0694923,11.0114
0.0704298,64.4996,0.0704298,12.924,0.0704298,17.1545,0.0704298,18.5569,0.0704298,19.894,0.0704298,19.7137,0.0704298,17.8807,0.0704298,15.5738,0.0704298,13.4843,0.0704298,11.2112
0.0714455,65.2721,0.0714455,13.3064,0.0714455,16.918,0.0714455,19.1019,0.0714455,20.2969,0.0714455,19.5697,0.0714455,18.0882,0.0714455,16.1169,0.0714455,13.6297,0.0714455,11.5035
0.0724611,65.9111,0.0724611,13.2416,0.0724611,17.4578,0.0724611,18.9632,0.0724611,20.2916,0.0724611,20.0671,0.0724611,18.3018,0.0724611,15.951,0.0724611,13.8724,0.0724611,11.6117
0.0733986,66.7455,0.0733986,13.6922,0.0733986,17.2985,0.0733986,19.3475,0.0733986,20.6011,0.0733986,19.9049,0.0733986,18.4057,0.0733986,16.4664,0.0733986,13.9196,0.0733986,11.7767
0.0744143,67.3797,0.0744143,13.6068,0.0744143,17.8388,0.0744143,19.2731,0.0744143,20.6378,0.0744143,20.4233,0.0744143,18.6208,0.0744143,16.3053,0.0744143,14.2525,0.0744143,11.9699
0.0754299,68.1713,0.0754299,13.9678,0.0754299,17.6848,0.0754299,19.7871,0.0754299,20.9983,0.0754299,20.3012,0.0754299,18.8201,0.0754299,16.8737,0.0754299,14.3045,0.0754299,12.1863
0.0764456,68.7769,0.0764456,13.9096,0.0764456,18.1463,0.0764456,19.5869,0.0764456,21.0498,0.0764456,20.7852,0.0764456,18.9069,0.0764456,16.6705,0.0764456,14.6373,0.0764456,12.3671
0.077383,69.5589,0.077383,14.1962,0.077383,17.9399,0.077383,20.0551,0.077383,21.2625,0.077383,20.5887,0.077383,19.1768,0.077383,17.1483,0.077383,14.6702,0.077383,12.5611
0.0783987,70.2122,0.0783987,14.2096,0.0783987,18.4491,0.0783987,19.9025,0.0783987,21.3617,0.0783987,21.0985,0.0783987,19.3265,0.0783987,17.0429,0.0783987,14.9286,0.0783987,12.6918
0.0794144,71.08,0.0794144,14.4837,0.0794144,18.1983,0.0794144,20.4137,0.0794144,21.5777,0.0794144,20.9502,0.0794144,19.5134,0.0794144,17.5298,0.0794144,15.0235,0.0794144,12.9507
0.0803518,71.6761,0.0803518,14.4628,0.0803518,18.7791,0.0803518,20.2149,0.0803518,21.7436,0.0803518,21.4222,0.0803518,19.6513,0.0803518,17.3906,0.0803518,15.3306,0.0803518,12.9784
0.0813675,72.5296,0.0813675,14.7689,0.0813675,18.5736,0.0813675,20.7718,0.0813675,21.8986,0.0813675,21.2921,0.0813675,19.8119,0.0813675,17.8741,0.0813675,15.3516,0.0813675,13.244
0.0823832,73.0875,0.0823832,14.7846,0.0823832,19.0552,0.0823832,20.5143,0.0823832,22.013,0.0823832,21.7751,0.0823832,19.9526,0.0823832,17.7029,0.0823832,15.6468,0.0823832,13.306
0.0833206,73.9315,0.0833206,15.0278,0.0833206,18.9079,0.0833206,21.0565,0.0833206,22.2724,0.0833206,21.5591,0.0833206,20.2468,0.0833206,18.1778,0.0833206,15.6906,0.0833206,13.5863
0.0843363,74.4846,0.0843363,15.0798,0.0843363,19.3556,0.0843363,20.8505,0.0843363,22.3454,0.0843363,22.1136,0.0843363,20.3269,0.0843363,17.9885,0.0843363,15.9834,0.0843363,13.7108
0.0853519,75.3906,0.0853519,15.2672,0.0853519,19.1735,0.0853519,21.4356,0.0853519,22.5204,0.0853519,21.89,0.0853519,20.4838,0.0853519,18.5254,0.0853519,16.0659,0.0853519,13.9263
0.0862894,75.9247,0.0862894,15.3554,0.0862894,19.6393,0.0862894,21.0613,0.0862894,22.6706,0.0862894,22.4913,0.0862894,20.6512,0.0862894,18.3352,0.0862894,16.3334,0.0862894,14.0698
0.0873051,76.8021,0.0873051,15.5509,0.0873051,19.4453,0.0873051,21.6406,0.0873051,22.8709,0.0873051,22.2257,0.0873051,20.8033,0.0873051,18.8344,0.0873051,16.2786,0.0873051,14.2735
0.0883207,77.317,0.0883207,15.6949,0.0883207,19.9412,0.0883207,21.4418,0.0883207,23.012,0.0883207,22.766,0.0883207,20.9349,0.0883207,18.6895,0.0883207,16.6934,0.0883207,14.3669
0.0893364,78.2516,0.0893364,15.8418,0.0893364,19.8172,0.0893364,21.9916,0.0893364,23.1212,0.0893364,22.5695,0.0893364,21.1776,0.0893364,19.1782,0.0893364,16.7063,0.0893364,14.6621
0.0902739,78.7428,0.0902739,15.8919,0.0902739,20.2273,0.0902739,21.736,0.0902739,23.3119,0.0902739,23.0597,0.0902739,21.2234,0.0902739,19.0104,0.0902739,16.9986,0.0902739,14.6258
0.0912895,79.6535,0.0912895,16.0401,0.0912895,20.0942,0.0912895,22.301,0.0912895,23.392,0.0912895,22.8456,0.0912895,21.4938,0.0912895,19.4758,0.0912895,17.0015,0.0912895,14.9644
0.0923052,80.159,0.0923052,16.1584,0.0923052,20.5262,0.0923052,22.0049,0.0923052,23.6171,0.0923052,23.3797,0.0923052,21.5538,0.0923052,19.3075,0.0923052,17.3424,0.0923052,15.0145
0.0932426,81.0745,0.0932426,16.3315,0.0932426,20.3594,0.0932426,22.5528,0.0932426,23.7158,0.0932426,23.2032,0.0932426,21.87,0.0932426,19.8487,0.0932426,17.2756,0.0932426,15.3268
0.0942583,81.6086,0.0942583,16.4278,0.0942583,20.7933,0.0942583,22.3702,0.0942583,23.9018,0.0942583,23.6629,0.0942583,21.91,0.0942583,19.7304,0.0942583,17.7267,0.0942583,15.2748
0.095274,82.3716,0.095274,16.4202,0.095274,20.4685,0.095274,22.7197,0.095274,23.8865,0.095274,23.3673,0.095274,22.0354,0.095274,19.9846,0.095274,17.4607,0.095274,15.447
0.0962114,82.8722,0.0962114,16.6619,0.0962114,21.0365,0.0962114,22.5752,0.0962114,24.2609,0.0962114,23.9252,0.0962114,22.1375,0.0962114,19.9726,0.0962114,18.0209,0.0962114,15.5705
0.0972271,83.7401,0.0972271,16.7878,0.0972271,20.8524,0.0972271,23.116,0.0972271,24.2618,0.0972271,23.8198,0.0972271,22.4398,0.0972271,20.3822,0.0972271,17.8502,0.0972271,15.8919
0.0982428,84.2694,0.0982428,16.9724,0.0982428,21.3602,0.0982428,22.9734,0.0982428,24.5546,0.0982428,24.2861,0.0982428,22.4417,0.0982428,20.3265,0.0982428,18.3676,0.0982428,15.9248
0.0992584,85.1229,0.0992584,17.0177,0.0992584,21.1142,0.0992584,23.3916,0.0992584,24.6061,0.0992584,24.1121,0.0992584,22.7526,0.0992584,20.8023,0.0992584,18.2026,0.0992584,16.2748
0.100196,85.6522,0.100196,17.176,0.100196,21.6301,0.100196,23.259,0.100196,24.8631,0.100196,24.5913,0.100196,22.8203,0.100196,20.5906,0.100196,18.6885,0.100196,16.2538
0.101212,86.5344,0.101212,17.2456,0.101212,21.4232,0.101212,23.6782,0.101212,24.8946,0.101212,24.4144,0.101212,23.1264,0.101212,21.1623,0.101212,18.5455,0.101212,16.5985
0.102227,87.0446,0.102227,17.4874,0.102227,21.8647,0.102227,23.537,0.102227,25.1416,0.102227,24.8545,0.102227,23.1026,0.102227,20.9258,0.102227,19.0142,0.102227,16.5799
0.103165,87.8647,0.103165,17.5288,0.103165,21.7193,0.103165,23.9919,0.103165,25.154,0.103165,24.7401,0.103165,23.4931,0.103165,21.3965,0.103165,18.9021,0.103165,16.9466
0.10418,88.3559,0.10418,17.7053,0.10418,22.1866,0.10418,23.8322,0.10418,25.4735,0.10418,25.267,0.10418,23.4588,0.10418,21.3025,0.10418,19.4143,0.10418,16.9128
0.105196,89.2189,0.105196,17.7463,0.105196,21.9835,0.105196,24.3023,0.105196,25.5469,0.105196,25.1058,0.105196,23.7807,0.105196,21.7708,0.105196,19.1682,0.105196,17.3305
0.106133,89.7196,0.106133,18.0062,0.106133,22.3883,0.106133,24.0873,0.106133,25.8373,0.106133,25.5373,0.106133,23.7401,0.106133,21.6235,0.106133,19.7228,0.106133,17.2661
0.107149,90.5446,0.107149,17.9651,0.107149,22.2639,0.107149,24.5794,0.107149,25.7514,0.107149,25.3809,0.107149,24.1083,0.107149,22.0884,0.107149,19.5001,0.107149,17.6261
0.108165,91.0738,0.108165,18.2632,0.108165,22.6644,0.108165,24.4373,0.108165,26.1024,0.108165,25.8683,0.108165,24.0911,0.108165,22.0226,0.108165,20.0718,0.108165,17.6194
0.109102,91.8416,0.109102,18.1997,0.109102,22.59,0.109102,24.8483,0.109102,26.1091,0.109102,25.6885,0.109102,24.4173,0.109102,22.4217,0.109102,19.8749,0.109102,17.9856
0.110118,92.3899,0.110118,18.5106,0.110118,23.0187,0.110118,24.741,0.110118,26.4271,0.110118,26.1777,0.110118,24.3762,0.110118,22.3473,0.110118,20.3656,0.110118,17.9337
0.111134,93.2291,0.111134,18.4649,0.111134,22.8074,0.111134,25.133,0.111134,26.3356,0.111134,26.0447,0.111134,24.8006,0.111134,22.7583,0.111134,20.1925,0.111134,18.3814
0.112149,93.7298,0.112149,18.7825,0.112149,23.228,0.112149,24.947,0.112149,26.7109,0.112149,26.5454,0.112149,24.6786,0.112149,22.5619,0.112149,20.7637,0.112149,18.1983
0.113087,94.5023,0.113087,18.7419,0.113087,23.1598,0.113087,25.5078,0.113087,26.6136,0.113087,26.3365,0.113087,25.1258,0.113087,23.0869,0.113087,20.5243,0.113087,18.6909
0.114102,95.0078,0.114102,18.9422,0.114102,23.4955,0.114102,25.3404,0.114102,27.0461,0.114102,26.8048,0.114102,25.0414,0.114102,23.0163,0.114102,21.0803,0.114102,18.5693
0.115118,95.7946,0.115118,18.9894,0.115118,23.4035,0.115118,25.7538,0.115118,27.0165,0.115118,26.6961,0.115118,25.5068,0.115118,23.4311,0.115118,20.8844,0.115118,19.0552
0.116055,96.2714,0.116055,19.2989,0.116055,23.7568,0.116055,25.5798,0.116055,27.3899,0.116055,27.1987,0.116055,25.3657,0.116055,23.3825,0.116055,21.3993,0.116055,18.9045
