Date and time:,2022-05-10 10:21:49
3.72,-1108.63
3.73,-1107.72
3.74,-1107.39
3.75,-1106.53
3.76,-1106.19
3.77,-1105.29
3.78,-1104.96
3.79,-1104.05
3.8,-1103.72
3.81,-1102.76
3.82,-1102.48
3.83,-1101.47
3.84,-1101.19
3.85,-1100.23
3.86,-1100
3.87,-1098.99
3.88,-1098.76
3.89,-1097.71
3.9,-1097.42
3.91,-1096.42
3.92,-1096.13
3.93,-1095.13
3.94,-1094.85
3.95,-1093.89
3.96,-1093.61
3.97,-1092.61
3.98,-1092.32
3.99,-1091.32
4,-1091.03
4.01,-1090.08
4.02,-1089.79
4.03,-1088.79
4.04,-1088.46
4.05,-1087.5
4.06,-1087.17
4.07,-1086.22
4.08,-1085.93
4.09,-1084.88
4.1,-1084.59
4.11,-1083.64
4.12,-1083.31
4.13,-1082.31
4.14,-1081.97
4.15,-1081.02
4.16,-1080.68
4.17,-1079.68
4.18,-1079.4
4.19,-1078.4
4.2,-1078.11
4.21,-1077.11
4.22,-1076.77
4.23,-1075.77
4.24,-1075.49
4.25,-1074.53
4.26,-1074.15
4.27,-1073.1
4.28,-1072.77
4.29,-1071.77
4.3,-1071.39
4.31,-1070.43
4.32,-1070.05
4.33,-1069.1
4.34,-1068.76
4.35,-1067.76
4.36,-1067.48
4.37,-1066.47
4.38,-1066.19
4.39,-1065.19
4.4,-1064.9
4.41,-1063.85
4.42,-1063.57
4.43,-1062.56
4.44,-1062.23
4.45,-1061.23
4.46,-1060.9
4.47,-1059.94
4.48,-1059.66
4.49,-1058.61
4.5,-1058.32
4.51,-1057.27
4.52,-1056.98
4.53,-1055.94
4.54,-1055.65
4.55,-1054.65
4.56,-1054.31
4.57,-1053.31
4.58,-1053.03
4.59,-1052.03
4.6,-1051.69
4.61,-1050.69
4.62,-1050.45
4.63,-1049.4
4.64,-1049.07
4.65,-1048.07
4.66,-1047.73
4.67,-1046.73
4.68,-1046.4
4.69,-1045.4
4.7,-1045.11
4.71,-1044.11
4.72,-1043.82
4.73,-1042.78
4.74,-1042.54
4.75,-1041.49
4.76,-1041.2
4.77,-1040.2
4.78,-1039.87
4.79,-1038.91
4.8,-1038.58
4.81,-1037.58
4.82,-1037.29
4.83,-1036.29
4.84,-1036
4.85,-1035
4.86,-1034.67
4.87,-1033.72
4.88,-1033.38
4.89,-1032.38
4.9,-1032.14
4.91,-1031.09
4.92,-1030.85
4.93,-1029.81
4.94,-1029.52
4.95,-1028.52
4.96,-1028.28
4.97,-1027.23
4.98,-1026.94
4.99,-1025.94
5,-1025.7
5.01,-1024.7
5.02,-1024.37
5.03,-1023.37
5.04,-1023.13
5.05,-1022.13
5.06,-1021.89
5.07,-1020.84
5.08,-1020.55
5.09,-1019.6
5.1,-1019.31
5.11,-1018.31
5.12,-1018.08
5.13,-1017.07
5.14,-1016.79
5.15,-1015.83
5.16,-1015.55
5.17,-1014.59
5.18,-1014.31
5.19,-1013.31
5.2,-1013.07
5.21,-1012.07
5.22,-1011.83
5.23,-1010.83
5.24,-1010.59
5.25,-1009.63
5.26,-1009.4
5.27,-1008.35
5.28,-1008.16
5.29,-1007.16
5.3,-1006.92
5.31,-1005.96
5.32,-1005.72
5.33,-1004.77
5.34,-1004.53
5.35,-1003.58
5.36,-1003.34
5.37,-1002.39
5.38,-1002.15
5.39,-1001.15
5.4,-1000.91
5.41,-999.955
5.42,-999.717
5.43,-998.715
5.44,-998.477
5.45,-997.523
5.46,-997.333
5.47,-996.331
5.48,-996.188
5.49,-995.187
5.5,-994.996
5.51,-993.995
5.52,-993.804
5.53,-992.85
5.54,-992.66
5.55,-991.706
5.56,-991.515
5.57,-990.561
5.58,-990.371
5.59,-989.417
5.6,-989.226
5.61,-988.32
5.62,-988.13
5.63,-987.128
5.64,-986.89
5.65,-986.032
5.66,-985.841
5.67,-984.887
5.68,-984.696
5.69,-983.79
5.7,-983.6
5.71,-982.694
5.72,-982.503
5.73,-981.597
5.74,-981.406
5.75,-980.5
5.76,-980.357
5.77,-979.404
5.78,-979.26
5.79,-978.307
5.8,-978.211
5.81,-977.258
5.82,-977.115
5.83,-976.209
5.84,-976.018
5.85,-975.16
5.86,-974.969
5.87,-974.111
5.88,-973.968
5.89,-973.062
5.9,-972.919
5.91,-972.013
5.92,-971.917
5.93,-971.011
5.94,-970.916
5.95,-970.01
5.96,-969.914
5.97,-969.008
5.98,-968.913
5.99,-968.055
6,-967.959
6.01,-967.053
6.02,-967.006
6.03,-966.147
6.04,-966.004
6.05,-965.194
6.06,-965.051
6.07,-964.24
6.08,-964.145
6.09,-963.286
6.1,-963.191
6.11,-962.38
6.12,-962.285
6.13,-961.474
6.14,-961.427
6.15,-960.568
6.16,-960.521
6.17,-959.662
6.18,-959.615
6.19,-958.804
6.2,-958.756
6.21,-957.946
6.22,-957.898
6.23,-957.088
6.24,-957.04
6.25,-956.229
6.26,-956.182
6.27,-955.419
6.28,-955.419
6.29,-954.56
6.3,-954.56
6.31,-953.797
6.32,-953.797
6.33,-953.034
6.34,-953.034
6.35,-952.224
6.36,-952.224
6.37,-951.461
6.38,-951.461
6.39,-950.65
6.4,-950.698
6.41,-949.887
6.42,-949.935
6.43,-949.22
6.44,-949.22
6.45,-948.457
6.46,-948.504
6.47,-947.789
6.48,-947.837
6.49,-947.122
6.5,-947.169
6.51,-946.454
6.52,-946.454
6.53,-945.786
6.54,-945.834
6.55,-945.167
6.56,-945.214
6.57,-944.499
6.58,-944.594
6.59,-943.879
6.6,-944.022
6.61,-943.307
6.62,-943.45
6.63,-942.735
6.64,-942.878
6.65,-942.163
6.66,-942.306
6.67,-941.638
6.68,-941.781
6.69,-941.113
6.7,-941.304
6.71,-940.637
6.72,-940.78
6.73,-940.16
6.74,-940.303
6.75,-939.635
6.76,-939.826
6.77,-939.206
6.78,-939.397
6.79,-938.729
6.8,-938.968
6.81,-938.348
6.82,-938.586
6.83,-938.014
6.84,-938.205
6.85,-937.633
6.86,-937.823
6.87,-937.251
6.88,-937.49
6.89,-936.917
6.9,-937.203
6.91,-936.631
6.92,-936.869
6.93,-936.297
6.94,-936.631
6.95,-936.059
6.96,-936.345
6.97,-935.82
6.98,-936.106
6.99,-935.582
7,-935.915
7.01,-935.439
7.02,-935.772
7.03,-935.2
7.04,-935.534
7.05,-935.057
7.06,-935.391
7.07,-934.914
7.08,-935.248
7.09,-934.819
7.1,-935.2
7.11,-934.723
7.12,-935.105
7.13,-934.676
7.14,-935.105
7.15,-934.628
7.16,-935.105
7.17,-934.628
7.18,-935.057
7.19,-934.628
7.2,-935.105
7.21,-934.628
7.22,-935.105
7.23,-934.676
7.24,-935.153
7.25,-934.723
7.26,-935.2
7.27,-934.771
7.28,-935.248
7.29,-934.866
7.3,-935.391
7.31,-935.009
7.32,-935.439
7.33,-935.105
7.34,-935.629
7.35,-935.296
7.36,-935.725
7.37,-935.391
7.38,-935.915
7.39,-935.582
7.4,-936.059
7.41,-935.725
7.42,-936.249
7.43,-935.915
7.44,-936.44
7.45,-936.106
7.46,-936.631
7.47,-936.345
7.48,-936.821
7.49,-936.535
7.5,-937.06
7.51,-936.726
7.52,-937.346
7.53,-936.965
7.54,-937.537
7.55,-937.203
7.56,-937.776
7.57,-937.49
7.58,-938.014
7.59,-937.68
7.6,-938.252
7.61,-937.966
7.62,-938.491
7.63,-938.252
7.64,-938.729
7.65,-938.443
7.66,-938.968
7.67,-938.634
7.68,-939.206
7.69,-938.872
7.7,-939.445
7.71,-939.111
7.72,-939.635
7.73,-939.302
7.74,-939.826
7.75,-939.54
7.76,-940.064
7.77,-939.731
7.78,-940.255
7.79,-939.969
7.8,-940.446
7.81,-940.112
7.82,-940.637
7.83,-940.303
7.84,-940.827
7.85,-940.494
7.86,-940.97
7.87,-940.589
7.88,-941.113
7.89,-940.732
7.9,-941.257
7.91,-940.875
7.92,-941.4
7.93,-940.97
7.94,-941.543
7.95,-941.161
7.96,-941.686
7.97,-941.257
7.98,-941.686
7.99,-941.304
8,-941.733
8.01,-941.352
8.02,-941.829
8.03,-941.4
8.04,-941.924
8.05,-941.495
8.06,-941.924
8.07,-941.447
8.08,-941.924
8.09,-941.495
8.1,-941.972
8.11,-941.495
8.12,-941.924
8.13,-941.495
8.14,-941.924
8.15,-941.447
8.16,-941.924
8.17,-941.4
8.18,-941.876
8.19,-941.4
8.2,-941.781
8.21,-941.304
8.22,-941.733
8.23,-941.257
8.24,-941.638
8.25,-941.161
8.26,-941.543
8.27,-941.066
8.28,-941.4
8.29,-940.97
8.3,-941.352
8.31,-940.827
8.32,-941.209
8.33,-940.684
8.34,-941.066
8.35,-940.589
8.36,-940.923
8.37,-940.398
8.38,-940.78
8.39,-940.255
8.4,-940.589
8.41,-940.112
8.42,-940.446
8.43,-939.921
8.44,-940.255
8.45,-939.731
8.46,-940.064
8.47,-939.54
8.48,-939.874
8.49,-939.302
8.5,-939.683
8.51,-939.111
8.52,-939.445
8.53,-938.872
8.54,-939.254
8.55,-938.682
8.56,-939.015
8.57,-938.443
8.58,-938.777
8.59,-938.205
8.6,-938.539
8.61,-937.966
8.62,-938.3
8.63,-937.728
8.64,-938.014
8.65,-937.49
8.66,-937.776
8.67,-937.203
8.68,-937.537
8.69,-936.965
8.7,-937.251
8.71,-936.678
8.72,-937.012
8.73,-936.392
8.74,-936.726
8.75,-936.154
8.76,-936.488
8.77,-935.868
8.78,-936.154
8.79,-935.582
8.8,-935.868
8.81,-935.296
8.82,-935.629
8.83,-935.057
8.84,-935.343
8.85,-934.771
8.86,-935.057
8.87,-934.485
8.88,-934.771
8.89,-934.199
8.9,-934.437
8.91,-933.865
8.92,-934.199
8.93,-933.579
8.94,-933.865
8.95,-933.293
8.96,-933.579
8.97,-933.007
8.98,-933.293
8.99,-932.673
9,-933.007
9.01,-932.387
9.02,-932.673
9.03,-932.053
9.04,-932.339
9.05,-931.767
9.06,-932.053
9.07,-931.433
9.08,-931.767
9.09,-931.147
9.1,-931.481
9.11,-930.861
9.12,-931.147
9.13,-930.527
9.14,-930.861
9.15,-930.193
9.16,-930.527
9.17,-929.955
9.18,-930.241
9.19,-929.574
9.2,-929.86
9.21,-929.287
9.22,-929.574
9.23,-928.954
9.24,-929.24
9.25,-928.668
9.26,-928.954
9.27,-928.334
9.28,-928.62
9.29,-928.048
9.3,-928.334
9.31,-927.762
9.32,-928
9.33,-927.428
9.34,-927.714
9.35,-927.094
9.36,-927.38
9.37,-926.76
9.38,-927.094
9.39,-926.426
9.4,-926.76
9.41,-926.14
9.42,-926.426
9.43,-925.807
9.44,-926.093
9.45,-925.473
9.46,-925.759
9.47,-925.187
9.48,-925.425
9.49,-924.853
9.5,-925.139
9.51,-924.567
9.52,-924.805
9.53,-924.185
9.54,-924.471
9.55,-923.852
9.56,-924.185
9.57,-923.518
9.58,-923.899
9.59,-923.232
9.6,-923.518
9.61,-922.898
9.62,-923.184
9.63,-922.564
9.64,-922.85
9.65,-922.23
9.66,-922.516
9.67,-921.944
9.68,-922.23
9.69,-921.61
9.7,-921.849
9.71,-921.229
9.72,-921.563
9.73,-920.895
9.74,-921.229
9.75,-920.609
9.76,-920.895
9.77,-920.228
9.78,-920.514
9.79,-919.941
9.8,-920.228
9.81,-919.56
9.82,-919.846
9.83,-919.226
9.84,-919.56
9.85,-918.892
9.86,-919.178
9.87,-918.606
9.88,-918.845
9.89,-918.225
9.9,-918.463
9.91,-917.891
9.92,-918.129
9.93,-917.557
9.94,-917.796
9.95,-917.176
9.96,-917.462
9.97,-916.794
9.98,-917.08
9.99,-916.508
10,-916.747
10.01,-916.127
10.02,-916.413
10.03,-915.793
10.04,-916.079
10.05,-915.411
10.06,-915.698
10.07,-915.078
10.08,-915.316
10.09,-914.696
10.1,-914.982
10.11,-914.315
10.12,-914.601
10.13,-913.981
10.14,-914.172
10.15,-913.647
10.16,-913.886
10.17,-913.266
10.18,-913.504
10.19,-912.884
10.2,-913.17
10.21,-912.503
10.22,-912.789
10.23,-912.121
10.24,-912.407
10.25,-911.74
10.26,-912.074
10.27,-911.358
10.28,-911.692
10.29,-911.072
10.3,-911.311
10.31,-910.691
10.32,-910.929
10.33,-910.262
10.34,-910.595
10.35,-909.928
10.36,-910.166
10.37,-909.546
10.38,-909.785
10.39,-909.117
10.4,-909.403
10.41,-908.783
10.42,-909.022
10.43,-908.402
10.44,-908.64
10.45,-908.068
10.46,-908.259
10.47,-907.639
10.48,-907.877
10.49,-907.258
10.5,-907.496
10.51,-906.828
10.52,-907.115
10.53,-906.447
10.54,-906.733
10.55,-906.065
10.56,-906.352
10.57,-905.732
10.58,-905.97
10.59,-905.303
10.6,-905.589
10.61,-904.921
10.62,-905.207
10.63,-904.54
10.64,-904.778
10.65,-904.206
10.66,-904.397
10.67,-903.777
10.68,-904.063
10.69,-903.395
10.7,-903.634
10.71,-903.014
10.72,-903.252
10.73,-902.632
10.74,-902.871
10.75,-902.203
10.76,-902.442
10.77,-901.822
10.78,-902.06
10.79,-901.392
10.8,-901.679
10.81,-900.963
10.82,-901.202
10.83,-900.582
10.84,-900.82
10.85,-900.2
10.86,-900.439
10.87,-899.819
10.88,-900.057
10.89,-899.437
10.9,-899.676
10.91,-899.056
10.92,-899.294
10.93,-898.674
10.94,-898.913
10.95,-898.245
10.96,-898.531
10.97,-897.864
10.98,-898.15
10.99,-897.53
11,-897.721
11.01,-897.149
11.02,-897.387
11.03,-896.719
11.04,-896.958
11.05,-896.338
11.06,-896.529
11.07,-895.909
11.08,-896.195
11.09,-895.575
11.1,-895.813
11.11,-895.194
11.12,-895.432
11.13,-894.812
11.14,-895.051
11.15,-894.431
11.16,-894.621
11.17,-894.001
11.18,-894.24
11.19,-893.668
11.2,-893.858
11.21,-893.239
11.22,-893.477
11.23,-892.857
11.24,-893.096
11.25,-892.428
11.26,-892.714
11.27,-892.046
11.28,-892.333
11.29,-891.713
11.3,-891.951
11.31,-891.331
11.32,-891.617
11.33,-890.95
11.34,-891.14
11.35,-890.568
11.36,-890.759
11.37,-890.139
11.38,-890.378
11.39,-889.758
11.4,-889.996
11.41,-889.376
11.42,-889.615
11.43,-888.995
11.44,-889.233
11.45,-888.613
11.46,-888.852
11.47,-888.232
11.48,-888.47
11.49,-887.85
11.5,-888.089
11.51,-887.421
11.52,-887.707
11.53,-887.087
11.54,-887.326
11.55,-886.706
11.56,-886.944
11.57,-886.372
11.58,-886.563
11.59,-885.943
11.6,-886.229
11.61,-885.561
11.62,-885.8
11.63,-885.228
11.64,-885.466
11.65,-884.846
11.66,-885.085
11.67,-884.417
11.68,-884.703
11.69,-884.083
11.7,-884.274
11.71,-883.702
11.72,-883.94
11.73,-883.32
11.74,-883.559
11.75,-882.939
11.76,-883.177
11.77,-882.557
11.78,-882.796
11.79,-882.224
11.8,-882.462
11.81,-881.794
11.82,-882.081
11.83,-881.461
11.84,-881.699
11.85,-881.079
11.86,-881.27
11.87,-880.745
11.88,-880.936
11.89,-880.364
11.9,-880.602
11.91,-879.935
11.92,-880.221
11.93,-879.601
11.94,-879.839
11.95,-879.22
11.96,-879.41
11.97,-878.838
11.98,-879.076
11.99,-878.457
12,-878.695
12.01,-878.123
12.02,-878.361
12.03,-877.694
12.04,-877.98
12.05,-877.36
12.06,-877.551
12.07,-876.978
12.08,-877.217
12.09,-876.597
12.1,-876.883
12.11,-876.215
12.12,-876.454
12.13,-875.882
12.14,-876.12
12.15,-875.5
12.16,-875.739
12.17,-875.166
12.18,-875.357
12.19,-874.785
12.2,-875.023
12.21,-874.404
12.22,-874.594
12.23,-874.07
12.24,-874.26
12.25,-873.641
12.26,-873.927
12.27,-873.307
12.28,-873.593
12.29,-872.925
12.3,-873.211
12.31,-872.544
12.32,-872.83
12.33,-872.21
12.34,-872.448
12.35,-871.829
12.36,-872.067
12.37,-871.495
12.38,-871.733
12.39,-871.161
12.4,-871.399
12.41,-870.78
12.42,-871.018
12.43,-870.398
12.44,-870.636
12.45,-870.064
12.46,-870.35
12.47,-869.683
12.48,-869.969
12.49,-869.397
12.5,-869.635
12.51,-868.968
12.52,-869.254
12.53,-868.681
12.54,-868.92
12.55,-868.3
12.56,-868.538
12.57,-867.966
12.58,-868.205
12.59,-867.632
12.6,-867.871
12.61,-867.251
12.62,-867.537
12.63,-866.917
12.64,-867.203
12.65,-866.583
12.66,-866.822
12.67,-866.25
12.68,-866.488
12.69,-865.916
12.7,-866.154
12.71,-865.534
12.72,-865.773
12.73,-865.201
12.74,-865.439
12.75,-864.867
12.76,-865.105
12.77,-864.485
12.78,-864.771
12.79,-864.151
12.8,-864.438
12.81,-863.818
12.82,-864.104
12.83,-863.484
12.84,-863.77
12.85,-863.102
12.86,-863.389
12.87,-862.816
12.88,-863.055
12.89,-862.483
12.9,-862.721
12.91,-862.149
12.92,-862.387
12.93,-861.815
12.94,-862.053
12.95,-861.434
12.96,-861.72
12.97,-861.147
12.98,-861.434
12.99,-860.814
13,-861.1
13.01,-860.48
13.02,-860.766
13.03,-860.146
13.04,-860.432
13.05,-859.812
13.06,-860.098
13.07,-859.478
13.08,-859.765
13.09,-859.192
13.1,-859.478
13.11,-858.859
13.12,-859.145
13.13,-858.525
13.14,-858.811
13.15,-858.191
13.16,-858.525
13.17,-857.857
13.18,-858.143
13.19,-857.523
13.2,-857.81
13.21,-857.237
13.22,-857.523
13.23,-856.951
13.24,-857.19
13.25,-856.617
13.26,-856.904
13.27,-856.284
13.28,-856.57
13.29,-855.998
13.3,-856.236
13.31,-855.664
13.32,-855.902
13.33,-855.33
13.34,-855.616
13.35,-855.044
13.36,-855.33
13.37,-854.71
13.38,-854.996
13.39,-854.376
13.4,-854.662
13.41,-854.09
13.42,-854.376
13.43,-853.756
13.44,-854.09
13.45,-853.47
13.46,-853.709
13.47,-853.137
13.48,-853.423
13.49,-852.803
13.5,-853.089
13.51,-852.564
13.52,-852.803
13.53,-852.231
13.54,-852.517
13.55,-851.944
13.56,-852.231
13.57,-851.658
13.58,-851.944
13.59,-851.325
13.6,-851.611
13.61,-850.991
13.62,-851.277
13.63,-850.657
13.64,-850.991
13.65,-850.371
13.66,-850.657
13.67,-850.037
13.68,-850.323
13.69,-849.751
13.7,-849.989
13.71,-849.417
13.72,-849.703
13.73,-849.179
13.74,-849.465
13.75,-848.94
13.76,-849.227
13.77,-848.654
13.78,-848.94
13.79,-848.32
13.8,-848.607
13.81,-848.034
13.82,-848.32
13.83,-847.748
13.84,-848.034
13.85,-847.462
13.86,-847.748
13.87,-847.176
13.88,-847.462
13.89,-846.89
13.9,-847.224
13.91,-846.699
13.92,-846.938
13.93,-846.365
13.94,-846.747
13.95,-846.127
13.96,-846.318
13.97,-845.698
13.98,-845.984
13.99,-845.459
14,-845.793
14.01,-845.221
14.02,-845.459
14.03,-844.84
14.04,-845.126
14.05,-844.506
14.06,-844.792
14.07,-844.267
14.08,-844.553
14.09,-843.981
14.1,-844.267
14.11,-843.695
14.12,-843.981
14.13,-843.409
14.14,-843.695
14.15,-843.171
14.16,-843.409
14.17,-842.837
14.18,-843.123
14.19,-842.551
14.2,-842.837
14.21,-842.265
14.22,-842.551
14.23,-841.979
14.24,-842.265
14.25,-841.692
14.26,-841.979
14.27,-841.454
14.28,-841.692
14.29,-841.168
14.3,-841.406
14.31,-840.882
14.32,-841.12
14.33,-840.596
14.34,-840.882
14.35,-840.31
14.36,-840.596
14.37,-840.023
14.38,-840.357
14.39,-839.785
14.4,-840.023
14.41,-839.499
14.42,-839.785
14.43,-839.213
14.44,-839.499
14.45,-838.927
14.46,-839.213
14.47,-838.688
14.48,-838.974
14.49,-838.402
14.5,-838.688
14.51,-838.164
14.52,-838.45
14.53,-837.83
14.54,-838.164
14.55,-837.592
14.56,-837.83
14.57,-837.306
14.58,-837.592
14.59,-837.067
14.6,-837.306
14.61,-836.781
14.62,-837.019
14.63,-836.495
14.64,-836.781
14.65,-836.257
14.66,-836.495
14.67,-835.923
14.68,-836.209
14.69,-835.684
14.7,-835.97
14.71,-835.398
14.72,-835.684
14.73,-835.112
14.74,-835.398
14.75,-834.874
14.76,-835.112
14.77,-834.635
14.78,-834.874
14.79,-834.301
14.8,-834.588
14.81,-834.063
14.82,-834.301
14.83,-833.777
14.84,-834.063
14.85,-833.539
14.86,-833.825
14.87,-833.252
14.88,-833.539
14.89,-833.014
